topic_id,topic_label_en,topic_group_en
accessibility,Accessibility,Accessibility
activities_and_attractions,Activities & Attractions,Visitor Experience
animals,Animals,Nature & Wildlife
booking_and_entry,Booking & Entry,Operations
crowding,Crowding,Operations
hygiene_and_cleanliness,Hygiene & Cleanliness,Facilities
information,Information & Explanations,Visitor Guidance
infrastructure_and_maintenance,Infrastructure & Maintenance,Facilities
insects,Insects & Pests,Comfort
modesty_and_religion,Modesty & Religion,Visitor Needs
noise,Noise,Comfort
opening_hours,Opening Hours,Operations
operational_efficiency,Operational Efficiency,Operations
other,Other / General Feedback,General
parking,Parking,Access
price_value,Price & Value,Commercial Services
shade,Shade,Comfort
shop_and_food,Shop & Food,Commercial Services
showers_and_changing_rooms,Showers & Changing Rooms,Facilities
signage_and_navigation,Signage & Navigation,Visitor Guidance
staff_service,Staff & Service,Service
supervision_and_enforcement,Supervision & Enforcement,Safety & Conduct
visitor_amenities,Visitor Amenities,Facilities
water,Water,Facilities
weather_and_temperature,Weather & Temperature,Comfort
